"Sex","EE","H2Omg","RQ","Animal_ID","Deg_C","weight","experiment","StartTime","SD_VCO2","SD_VO2","SD_H2Omg","VO2","VCO2","StartDate","FQ","block","hour"
"M",0.20511822702,3.607334,0.872167204155882,"1079",32.92967,25.506,"Low Fat","11:43:46",0.0303,0.0227299,0.0367,0.6968822,0.6077978,2020-08-21,0.92266,"cages21aug",11
"M",0.271315873962,3.916046,0.796536255051708,"1079",32.90162,25.506,"Low Fat","11:51:46",0.0432,0.035,0.0782,0.9377769,0.7469733,2020-08-21,0.92266,"cages21aug",11
"M",0.141367696932,3.65972,1.0158804982778,"1079",32.81172,25.506,"Low Fat","12:27:46",0.05,0.0474,0.0580394,0.4652184,0.4726063,2020-08-21,0.92266,"cages21aug",12
"M",0.042615524868,3.26521,0.963034490147182,"1079",32.88993,25.506,"Low Fat","12:43:46",0.014,0.0207,0.3409441,0.1418782,0.1366336,2020-08-21,0.92266,"cages21aug",12
"M",0.074874111144,3.056107,1.03872037941754,"1079",32.81229,25.506,"Low Fat","13:23:46",0.00835,0.0175,0.0278,0.2451758,0.2546691,2020-08-21,0.92266,"cages21aug",13
"M",0.078705187008,2.96556,0.959604742118334,"1079",32.93137,25.506,"Low Fat","13:47:46",0.00912,0.0164,0.063164,0.2622288,0.251636,2020-08-21,0.92266,"cages21aug",13
"M",0.08260862673,2.859771,0.952191278414109,"1079",32.94682,25.506,"Low Fat","14:11:46",0.00882,0.0196,0.0215,0.2756861,0.2625059,2020-08-21,0.92266,"cages21aug",14
"M",0.084135440844,3.034619,0.92870702293787,"1079",32.91887,25.506,"Low Fat","14:43:46",0.0106,0.0223,0.0303,0.2822494,0.262127,2020-08-21,0.92266,"cages21aug",14
"M",0.205118368896,3.607334,0.872166453240057,"1079",32.92967,25.506,"Low Fat","15:13:47",0.0303,0.0227,0.0367,0.6968828,0.6077978,2020-08-21,0.92266,"cages21aug",15
"M",0.271315867326,3.916046,0.796536148416537,"1079",32.90162,25.506,"Low Fat","15:21:47",0.0432,0.035,0.0782,0.9377769,0.7469732,2020-08-21,0.92266,"cages21aug",15
"M",0.141367696932,3.65972,1.0158804982778,"1079",32.81172,25.506,"Low Fat","15:57:47",0.05,0.0474,0.0580394,0.4652184,0.4726063,2020-08-21,0.92266,"cages21aug",15
"M",0.042615524868,3.26521,0.963034490147182,"1079",32.88993,25.506,"Low Fat","16:13:47",0.014,0.0207,0.3409441,0.1418782,0.1366336,2020-08-21,0.92266,"cages21aug",16
"M",0.074874111144,3.056107,1.03872037941754,"1079",32.81229,25.506,"Low Fat","16:53:47",0.00835,0.0175,0.0278,0.2451758,0.2546691,2020-08-21,0.92266,"cages21aug",16
